what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1306643747355
error,log,,,"Failed to load properties file for project 'tests'",1306643747441
error,log,,,"Failed to load properties file for project 'masxaro'",1306643747500
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306643948017
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306644421300
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306644422600
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306644451391
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1306644488617
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306644554437
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306645928094
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306645956287
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306645956917
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306645961491
error,log,,,"Failed to load properties file for project 'com_example_android_apis_tests'",1306646022645
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306646022866
started,bundle,org.eclipse.jdt.apt.core,3.3.201.R35x_v20090818-0235,"org.eclipse.jdt.apt.core",1306646024620
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090818-0225,"org.eclipse.jdt.apt.pluggable.core",1306646024685
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306646031372
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1306646031644
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1306646031793
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306646031850
started,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1306646032023
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306646039816
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306646039931
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306646040028
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306646042305
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1306646043998
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306646052945
error,log,,,"Failed to load properties file for project 'ApiDemos'",1306646080098
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1306646080134
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306646105866
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306646105991
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306646109951
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306646109951
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1306646110985
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306646110985
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1306646113529
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306646131155
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306646131274
